country,continent,year,gdp_pc,life_exp,pop,lgdp_pc,lgdp_pc_change
Angola ,Africa ,1957,3827.94,32,4561361,8.250082,
Angola ,Africa ,1962,4269.28,34,4826015,8.3592005,
Angola ,Africa ,1967,5522.78,35.99,5247469,8.6166363,.45024681
Angola ,Africa ,1972,5473.29,37.93,5894858,8.6076355,.35755348
Angola ,Africa ,1977,3008.65,39.48,6162675,8.0092468,-.34995365
Angola ,Africa ,1982,2756.95,39.94,7016384,7.9218802,-.69475603
Angola ,Africa ,1987,2430.21,39.91,7874230,7.795733,-.81190252
Angola ,Africa ,1992,2627.85,40.65,8735988,7.8739214,-.13532543
Angola ,Africa ,1997,2277.14,40.96,9875024,7.7306757,-.19120455
Angola ,Africa ,2002,2773.29,41,10866106,7.9277897,.13205671
Angola ,Africa ,2007,4797.23,42.73,12420476,8.4757938,.60187244
Argentina ,Americas ,1952,5911.32,62.49,17876956,8.6846247,
Argentina ,Americas ,1957,6856.86,64.40000000000001,19610538,8.833005,
Argentina ,Americas ,1962,7133.17,65.14,21283783,8.8725109,
Argentina ,Americas ,1967,8052.95,65.63,22934225,8.9937935,.30916882
Argentina ,Americas ,1972,9443.040000000001,67.06999999999999,24779799,9.1530333,.32002831
Argentina ,Americas ,1977,10079.03,68.48,26983828,9.2182121,.34570122
Argentina ,Americas ,1982,8997.9,69.94,29341374,9.1047468,.11095333
Argentina ,Americas ,1987,9139.67,70.77,31620918,9.1203794,-.032653809
Argentina ,Americas ,1992,9308.42,71.87,33958947,9.1386747,-.079537392
Argentina ,Americas ,1997,10967.28,73.28,36203463,9.3026714,.19792461
Argentina ,Americas ,2002,8797.639999999999,74.34,38331121,9.0822392,-.038140297
Argentina ,Americas ,2007,12779.38,75.31999999999999,40301927,9.4555883,.3169136
Australia ,Oceania ,1952,10039.6,69.12,8691212,9.2142925,
Australia ,Oceania ,1957,10949.65,70.33,9712569,9.3010626,
Australia ,Oceania ,1962,12217.23,70.93000000000001,10794968,9.4106026,
Australia ,Oceania ,1967,14526.12,71.09999999999999,11872264,9.583704,.36941147
Australia ,Oceania ,1972,16788.63,71.93000000000001,13177000,9.7284575,.42739487
Australia ,Oceania ,1977,18334.2,73.48999999999999,14074100,9.8165236,.40592098
Australia ,Oceania ,1982,19477.01,74.73999999999999,15184200,9.8769903,.29328632
Australia ,Oceania ,1987,21888.89,76.31999999999999,16257249,9.9937344,.26527691
Australia ,Oceania ,1992,23424.77,77.56,17481977,10.061549,.24502563
Australia ,Oceania ,1997,26997.94,78.83,18565243,10.203516,.32652569
Australia ,Oceania ,2002,30687.75,80.37,19546792,10.331619,.3378849
Australia ,Oceania ,2007,34435.37,81.23999999999999,20434176,10.446839,.38529015
Austria ,Europe ,1952,6137.08,66.8,6927772,8.7221041,
Austria ,Europe ,1957,8842.6,67.48,6965860,9.0873365,
Austria ,Europe ,1962,10750.72,69.54000000000001,7129864,9.2827282,
Austria ,Europe ,1967,12834.6,70.14,7376998,9.4598999,.73779583
Austria ,Europe ,1972,16661.63,70.63,7544201,9.7208633,.6335268
Austria ,Europe ,1977,19749.42,72.17,7568430,9.8908796,.60815144
Austria ,Europe ,1982,21597.08,73.18000000000001,7574613,9.9803133,.5204134
Austria ,Europe ,1987,23687.83,74.94,7578903,10.072717,.35185337
Austria ,Europe ,1992,27042.02,76.04000000000001,7914969,10.205147,.31426716
Austria ,Europe ,1997,29095.92,77.51000000000001,8069876,10.278354,.29804039
Austria ,Europe ,2002,32417.61,78.98,8148312,10.386457,.31374073
Austria ,Europe ,2007,36126.49,79.83,8199783,10.494781,.2896347
Bahrain ,Asia ,1952,9867.08,50.94,120447,9.1969595,
Bahrain ,Asia ,1957,11635.8,53.83,138655,9.3618422,
Bahrain ,Asia ,1962,12753.28,56.92,171863,9.4535437,
Bahrain ,Asia ,1967,14804.67,59.92,202182,9.6026983,.40573883
Bahrain ,Asia ,1972,18268.66,63.3,230800,9.8129425,.45110035
Bahrain ,Asia ,1977,19340.1,65.59,297410,9.869936,.41639233
Bahrain ,Asia ,1982,19211.15,69.05,377967,9.863246,.26054764
Bahrain ,Asia ,1987,18524.02,70.75,454612,9.8268232,.01388073
Bahrain ,Asia ,1992,19035.58,72.59999999999999,529491,9.8540649,-.015871048
Bahrain ,Asia ,1997,20292.02,73.93000000000001,598561,9.9179831,.054737091
Bahrain ,Asia ,2002,23403.56,74.8,656397,10.060643,.23381996
Bahrain ,Asia ,2007,29796.05,75.64,708573,10.302131,.44806576
Bangladesh ,Asia ,1952,684.24,37.48,46886859,6.5283089,
Bangladesh ,Asia ,1957,661.64,39.35,51365468,6.4947214,
Bangladesh ,Asia ,1962,686.34,41.22,56839289,6.531373,
Bangladesh ,Asia ,1967,721.1900000000001,43.45,62821884,6.5809026,.052593708
Bangladesh ,Asia ,1972,630.23,45.25,70759295,6.446085,-.048636436
Bangladesh ,Asia ,1977,659.88,46.92,80428306,6.4920578,-.039315224
Bangladesh ,Asia ,1982,676.98,50.01,93074406,6.5176415,-.063261032
Bangladesh ,Asia ,1987,751.98,52.82,103764241,6.6227098,.17662477
Bangladesh ,Asia ,1992,837.8099999999999,56.02,113704579,6.7307916,.23873377
Bangladesh ,Asia ,1997,972.77,59.41,123315288,6.8801475,.36250591
Bangladesh ,Asia ,2002,1136.39,62.01,135656790,7.0356116,.41290188
Bangladesh ,Asia ,2007,1391.25,64.06,150448339,7.237958,.50716639
Belgium ,Europe ,1952,8343.110000000001,68,8730405,9.029191,
Belgium ,Europe ,1957,9714.959999999999,69.23999999999999,8989111,9.1814222,
Belgium ,Europe ,1962,10991.21,70.25,9218400,9.3048515,
Belgium ,Europe ,1967,13149.04,70.94,9556500,9.4841042,.45491314
Belgium ,Europe ,1972,16672.14,71.44,9709100,9.7214947,.54007244
Belgium ,Europe ,1977,19117.97,72.8,9821800,9.8583841,.5535326
Belgium ,Europe ,1982,20979.85,73.93000000000001,9856303,9.9513178,.46721363
Belgium ,Europe ,1987,22525.56,75.34999999999999,9870200,10.022406,.30091095
Belgium ,Europe ,1992,25575.57,76.45999999999999,10045622,10.149393,.29100895
Belgium ,Europe ,1997,27561.2,77.53,10199787,10.224164,.27284622
Belgium ,Europe ,2002,30485.88,78.31999999999999,10311970,10.325019,.30261326
Belgium ,Europe ,2007,33692.61,79.44,10392226,10.425034,.27564049
Benin ,Africa ,1952,1062.75,38.22,1738315,6.9686151,
Benin ,Africa ,1957,959.6,40.36,1925173,6.8665166,
Benin ,Africa ,1962,949.5,42.62,2151895,6.8559356,
Benin ,Africa ,1967,1035.83,44.89,2427334,6.9429584,-.0256567
Benin ,Africa ,1972,1085.8,47.01,2761407,6.9900723,.12355566
Benin ,Africa ,1977,1029.16,49.19,3168267,6.9364982,.080562592
Benin ,Africa ,1982,1277.9,50.9,3641603,7.1529732,.21001482
Benin ,Africa ,1987,1225.86,52.34,4243788,7.1113977,.12132549
Benin ,Africa ,1992,1191.21,53.92,4981671,7.082725,.14622688
Benin ,Africa ,1997,1232.98,54.78,6066080,7.1171894,-.035783768
Benin ,Africa ,2002,1372.88,54.41,7026113,7.2246661,.11326838
Benin ,Africa ,2007,1441.28,56.73,8078314,7.2732868,.19056177
Bolivia ,Americas ,1952,2677.33,40.41,2883315,7.8925753,
Bolivia ,Americas ,1957,2127.69,41.89,3211738,7.6627922,
Bolivia ,Americas ,1962,2180.97,43.43,3593918,7.6875248,
Bolivia ,Americas ,1967,2586.89,45.03,4040665,7.8582115,-.034363747
Bolivia ,Americas ,1972,2980.33,46.71,4565872,7.9997892,.33699703
Bolivia ,Americas ,1977,3548.1,50.02,5079716,8.1741676,.48664284
Bolivia ,Americas ,1982,3156.51,53.86,5642224,8.0572224,.19901085
Bolivia ,Americas ,1987,2753.69,57.25,6156369,7.9206972,-.079092026
Bolivia ,Americas ,1992,2961.7,59.96,6893451,7.9935188,-.1806488
Bolivia ,Americas ,1997,3326.14,62.05,7693188,8.1095676,.052345276
Bolivia ,Americas ,2002,3413.26,63.88,8445134,8.1354227,.21472549
Bolivia ,Americas ,2007,3822.14,65.55,9119152,8.2485657,.25504684
Bosnia and Herzegovina ,Europe ,1952,973.53,53.82,2791000,6.8809285,
Bosnia and Herzegovina ,Europe ,1957,1353.99,58.45,3076000,7.2108111,
Bosnia and Herzegovina ,Europe ,1962,1709.68,61.93,3349000,7.4440613,
Bosnia and Herzegovina ,Europe ,1967,2172.35,64.79000000000001,3585000,7.6835647,.80263615
Bosnia and Herzegovina ,Europe ,1972,2860.17,67.45,3819000,7.9586363,.74782515
Bosnia and Herzegovina ,Europe ,1977,3528.48,69.86,4086000,8.168622,.72456074
Bosnia and Herzegovina ,Europe ,1982,4126.61,70.69,4172693,8.3252115,.64164686
Bosnia and Herzegovina ,Europe ,1987,4314.11,71.14,4338977,8.3696461,.41100979
Bosnia and Herzegovina ,Europe ,1992,2546.78,72.18000000000001,4256013,7.8425851,-.32603693
Bosnia and Herzegovina ,Europe ,1997,4766.36,73.23999999999999,3607000,8.4693384,.14412689
Bosnia and Herzegovina ,Europe ,2002,6018.98,74.09,4165416,8.702673,.33302689
Bosnia and Herzegovina ,Europe ,2007,7446.3,74.84999999999999,4552198,8.915473,1.0728879
Botswana ,Africa ,1952,851.24,47.62,442308,6.7466941,
Botswana ,Africa ,1957,918.23,49.62,474639,6.8224478,
Botswana ,Africa ,1962,983.65,51.52,512764,6.8912702,
Botswana ,Africa ,1967,1214.71,53.3,553541,7.1022606,.3555665
Botswana ,Africa ,1972,2263.61,56.02,619351,7.7247162,.90226841
Botswana ,Africa ,1977,3214.86,59.32,781472,8.0755386,1.1842685
Botswana ,Africa ,1982,4551.14,61.48,970347,8.4231329,1.3208723
Botswana ,Africa ,1987,6205.88,63.62,1151184,8.7332525,1.0085363
Botswana ,Africa ,1992,7954.11,62.75,1342614,8.9814444,.90590572
Botswana ,Africa ,1997,8647.139999999999,52.56,1536536,9.0649843,.64185143
Botswana ,Africa ,2002,11003.61,46.63,1630347,9.3059788,.57272625
Botswana ,Africa ,2007,12569.85,50.73,1639131,9.4390564,.45761204
Brazil ,Americas ,1952,2108.94,50.92,56602560,7.6539407,
Brazil ,Americas ,1957,2487.37,53.29,65551171,7.8189812,
Brazil ,Americas ,1962,3336.59,55.67,76039390,8.1127043,
Brazil ,Americas ,1967,3429.86,57.63,88049823,8.140275,.48633432
Brazil ,Americas ,1972,4985.71,59.5,100840058,8.5143309,.69534969
Brazil ,Americas ,1977,6660.12,61.49,114313951,8.8038931,.69118881
Brazil ,Americas ,1982,7030.84,63.34,128962939,8.8580618,.71778679
Brazil ,Americas ,1987,7807.1,65.20999999999999,142938076,8.9627886,.44845772
Brazil ,Americas ,1992,6950.28,67.06,155975974,8.8465376,.042644501
Brazil ,Americas ,1997,7957.98,69.39,168546719,8.9819307,.12386894
Brazil ,Americas ,2002,8131.21,71.01000000000001,179914212,9.0034647,.040676117
Brazil ,Americas ,2007,9065.799999999999,72.39,190010647,9.1122646,.26572704
Bulgaria ,Europe ,1952,2444.29,59.6,7274900,7.8015099,
Bulgaria ,Europe ,1957,3008.67,66.61,7651254,8.0092535,
Bulgaria ,Europe ,1962,4254.34,69.51000000000001,8012946,8.3556948,
Bulgaria ,Europe ,1967,5577,70.42,8310226,8.6264067,.82489681
Bulgaria ,Europe ,1972,6597.49,70.90000000000001,8576200,8.7944441,.78519058
Bulgaria ,Europe ,1977,7612.24,70.81,8797022,8.9375124,.58181763
Bulgaria ,Europe ,1982,8224.190000000001,71.08,8892098,9.0148354,.38842869
Bulgaria ,Europe ,1987,8239.85,71.34,8971958,9.016737,.2222929
Bulgaria ,Europe ,1992,6302.62,71.19,8658506,8.7487211,-.18879128
Bulgaria ,Europe ,1997,5970.39,70.31999999999999,8066057,8.6945677,-.32026768
Bulgaria ,Europe ,2002,7696.78,72.14,7661799,8.9485569,-.068180084
Bulgaria ,Europe ,2007,10680.79,73.01000000000001,7322858,9.2762022,.52748108
Burkina Faso ,Africa ,1952,543.26,31.98,4469979,6.2975879,
Burkina Faso ,Africa ,1957,617.18,34.91,4713416,6.4251609,
Burkina Faso ,Africa ,1962,722.51,37.81,4919632,6.5827312,
Burkina Faso ,Africa ,1967,794.83,40.7,5127935,6.6781282,.38054037
Burkina Faso ,Africa ,1972,854.74,43.59,5433886,6.7507973,.32563639
Burkina Faso ,Africa ,1977,743.39,46.14,5889574,6.6112208,.02848959
Burkina Faso ,Africa ,1982,807.2,48.12,6634596,6.6935716,.015443325
Burkina Faso ,Africa ,1987,912.0599999999999,49.56,7586551,6.8157058,.064908504
Burkina Faso ,Africa ,1992,931.75,50.26,8878303,6.8370647,.22584391
Burkina Faso ,Africa ,1997,946.29,50.32,10352843,6.8525491,.15897751
Burkina Faso ,Africa ,2002,1037.65,50.65,12251209,6.9447136,.12900782
Burkina Faso ,Africa ,2007,1217.03,52.3,14326203,7.1041689,.26710415
Burundi ,Africa ,1952,339.3,39.03,2445618,5.8268847,
Burundi ,Africa ,1957,379.56,40.53,2667518,5.9390125,
Burundi ,Africa ,1962,355.2,42.05,2961915,5.8726811,
Burundi ,Africa ,1967,412.98,43.55,3330989,6.0233994,.19651461
Burundi ,Africa ,1972,464.1,44.06,3529983,6.1401,.20108747
Burundi ,Africa ,1977,556.1,45.91,3834415,6.3209481,.44826698
Burundi ,Africa ,1982,559.6,47.47,4580410,6.3272223,.30382299
Burundi ,Africa ,1987,621.8200000000001,48.21,5126023,6.4326506,.29255056
Burundi ,Africa ,1992,631.7,44.74,5809236,6.4484148,.12746668
Burundi ,Africa ,1997,463.12,45.33,6121610,6.1379862,-.18923616
Burundi ,Africa ,2002,446.4,47.36,7021078,6.1012154,-.3314352
Burundi ,Africa ,2007,430.07,49.58,8390505,6.0639482,-.38446665
Cambodia ,Asia ,1952,368.47,39.42,4693836,5.9093595,
Cambodia ,Asia ,1957,434.04,41.37,5322536,6.0731368,
Cambodia ,Asia ,1962,496.91,43.42,6083619,6.2084088,
Cambodia ,Asia ,1967,523.43,45.42,6960067,6.2604032,.3510437
Cambodia ,Asia ,1972,421.62,40.32,7450606,6.0441046,-.02903223
Cambodia ,Asia ,1977,524.97,31.22,6978607,6.263341,.054932117
Cambodia ,Asia ,1982,624.48,50.96,7272485,6.4369192,.17651606
Cambodia ,Asia ,1987,683.9,53.91,8371791,6.5278115,.48370695
Cambodia ,Asia ,1992,682.3,55.8,10150094,6.5254693,.26212835
Cambodia ,Asia ,1997,734.29,56.53,11782962,6.5989041,.16198492
Cambodia ,Asia ,2002,896.23,56.75,12926707,6.7981973,.27038574
Cambodia ,Asia ,2007,1713.78,59.72,14131858,7.4464569,.92098761
Cameroon ,Africa ,1952,1172.67,38.52,5009067,7.0670385,
Cameroon ,Africa ,1957,1313.05,40.43,5359923,7.1801081,
Cameroon ,Africa ,1962,1399.61,42.64,5793633,7.2439489,
Cameroon ,Africa ,1967,1508.45,44.8,6335506,7.3188381,.25179958
Cameroon ,Africa ,1972,1684.15,47.05,7021028,7.4290161,.24890804
Cameroon ,Africa ,1977,1783.43,49.36,7959865,7.4862938,.24234486
Cameroon ,Africa ,1982,2367.98,52.96,9250831,7.7697926,.45095444
Cameroon ,Africa ,1987,2602.66,54.99,10780667,7.8642893,.43527317
Cameroon ,Africa ,1992,1793.16,54.31,12467171,7.4917345,.005440712
Cameroon ,Africa ,1997,1694.34,52.2,14195809,7.4350486,-.33474398
Cameroon ,Africa ,2002,1934.01,49.86,15929988,7.5673509,-.29693842
Cameroon ,Africa ,2007,2042.1,50.43,17696293,7.6217341,.12999964
Canada ,Americas ,1952,11367.16,68.75,14785584,9.3384838,
Canada ,Americas ,1957,12489.95,69.95999999999999,17010154,9.4326792,
Canada ,Americas ,1962,13462.49,71.3,18985849,9.5076628,
Canada ,Americas ,1967,16076.59,72.13,20819767,9.6851196,.34663582
Canada ,Americas ,1972,18970.57,72.88,22284500,9.8506441,.41796494
Canada ,Americas ,1977,22090.88,74.20999999999999,23796400,10.00292,.49525738
Canada ,Americas ,1982,22898.79,75.76000000000001,25201900,10.038839,.35371971
Canada ,Americas ,1987,26626.52,76.86,26549700,10.189663,.33901882
Canada ,Americas ,1992,26342.88,77.95,28523502,10.178953,.17603302
Canada ,Americas ,1997,28954.93,78.61,30305843,10.273496,.23465633
Canada ,Americas ,2002,33328.97,79.77,31902268,10.414183,.22451973
Canada ,Americas ,2007,36319.24,80.65000000000001,33390141,10.500103,.32114983
Central African Republic ,Africa ,1952,1071.31,35.46,1291695,6.9766374,
Central African Republic ,Africa ,1957,1190.84,37.46,1392284,7.0824142,
Central African Republic ,Africa ,1962,1193.07,39.48,1523478,7.0842853,
Central African Republic ,Africa ,1967,1136.06,41.48,1733638,7.0353212,.058683872
Central African Republic ,Africa ,1972,1070.01,43.46,1927260,6.9754233,-.10699081
Central African Republic ,Africa ,1977,1109.37,46.78,2167533,7.0115476,-.072737694
Central African Republic ,Africa ,1982,956.75,48.3,2476971,6.8635421,-.17177916
Central African Republic ,Africa ,1987,844.88,50.49,2840009,6.7391944,-.23622894
Central African Republic ,Africa ,1992,747.91,49.4,3265124,6.6172829,-.3942647
Central African Republic ,Africa ,1997,740.51,46.07,3696513,6.6073389,-.25620317
Central African Republic ,Africa ,2002,738.6900000000001,43.31,4048013,6.6048784,-.13431597
Central African Republic ,Africa ,2007,706.02,44.74,4369038,6.5596437,-.057639122
Chad ,Africa ,1952,1178.67,38.09,2682462,7.0721421,
Chad ,Africa ,1957,1308.5,39.88,2894855,7.1766367,
Chad ,Africa ,1962,1389.82,41.72,3150417,7.2369294,
Chad ,Africa ,1967,1196.81,43.6,3495967,7.0874147,.015272617
Chad ,Africa ,1972,1104.1,45.57,3899068,7.0067859,-.16985083
Chad ,Africa ,1977,1133.98,47.38,4388260,7.0334888,-.20344067
Chad ,Africa ,1982,797.91,49.52,4875118,6.6819959,-.40541887
Chad ,Africa ,1987,952.39,51.05,5498955,6.8589745,-.14781141
Chad ,Africa ,1992,1058.06,51.72,6429417,6.9641924,-.06929636
Chad ,Africa ,1997,1004.96,51.57,7562011,6.912703,.23070717
Chad ,Africa ,2002,1156.18,50.53,8835739,7.0528769,.19390249
Chad ,Africa ,2007,1704.06,50.65,10238807,7.4407687,.47657633
Chile ,Americas ,1952,3939.98,54.75,6377619,8.2789307,
Chile ,Americas ,1957,4315.62,56.07,7048426,8.3699961,
Chile ,Americas ,1962,4519.09,57.92,7961258,8.4160662,
Chile ,Americas ,1967,5106.65,60.52,8858908,8.5382986,.25936794
Chile ,Americas ,1972,5494.02,63.44,9717524,8.6114159,.24141979
Chile ,Americas ,1977,4756.76,67.05,10599793,8.4673223,.05125618
Chile ,Americas ,1982,5095.67,70.56999999999999,11487112,8.5361462,-.0021524429
Chile ,Americas ,1987,5547.06,72.48999999999999,12463354,8.6210232,.0096073151
Chile ,Americas ,1992,7596.13,74.13,13572994,8.9353943,.46807194
Chile ,Americas ,1997,10118.05,75.81999999999999,14599929,9.2220764,.68593025
Chile ,Americas ,2002,10778.78,77.86,15497046,9.2853346,.66431141
Chile ,Americas ,2007,13171.64,78.55,16284741,9.4858217,.55042744
China ,Asia ,1952,400.45,44,556263527,5.992589,
China ,Asia ,1957,575.99,50.55,637408000,6.3560901,
China ,Asia ,1962,487.67,44.5,665770000,6.1896391,
China ,Asia ,1967,612.71,58.38,754550000,6.417892,.42530298
China ,Asia ,1972,676.9,63.12,862030000,6.5175238,.1614337
China ,Asia ,1977,741.24,63.97,943455000,6.6083245,.41868544
China ,Asia ,1982,962.42,65.53,1000281000,6.869451,.45155907
China ,Asia ,1987,1378.9,67.27,1084035000,7.2290416,.71151781
China ,Asia ,1992,1655.78,68.69,1164970000,7.4120274,.80370283
China ,Asia ,1997,2289.23,70.43000000000001,1230075000,7.735971,.86651993
China ,Asia ,2002,3119.28,72.03,1280400000,8.0453577,.81631613
China ,Asia ,2007,4959.11,72.95999999999999,1318683096,8.5089817,1.0969543
Colombia ,Americas ,1952,2144.12,50.64,12350771,7.6704845,
Colombia ,Americas ,1957,2323.81,55.12,14485993,7.7509632,
Colombia ,Americas ,1962,2492.35,57.86,17009885,7.8209815,
Colombia ,Americas ,1967,2678.73,59.96,19764027,7.8930979,.22261333
Colombia ,Americas ,1972,3264.66,61.62,22542890,8.0909109,.3399477
Colombia ,Americas ,1977,3815.81,63.84,25094412,8.2469082,.42592669
Colombia ,Americas ,1982,4397.58,66.65000000000001,27764644,8.3888092,.49571133
Colombia ,Americas ,1987,4903.22,67.77,30964245,8.4976473,.40673637
Colombia ,Americas ,1992,5444.65,68.42,34202721,8.6023884,.35548019
Colombia ,Americas ,1997,6117.36,70.31,37657830,8.7188864,.33007717
Colombia ,Americas ,2002,5755.26,71.68000000000001,41008227,8.6578693,.16022205
Colombia ,Americas ,2007,7006.58,72.89,44227550,8.8546047,.25221634
Comoros ,Africa ,1952,1102.99,40.72,153936,7.0057797,
Comoros ,Africa ,1957,1211.15,42.46,170928,7.0993257,
Comoros ,Africa ,1962,1406.65,44.47,191689,7.2489662,
Comoros ,Africa ,1967,1876.03,46.47,217378,7.5369129,.53113317
Comoros ,Africa ,1972,1937.58,48.94,250027,7.5691953,.46986961
Comoros ,Africa ,1977,1172.6,50.94,304739,7.0669789,-.18198729
Comoros ,Africa ,1982,1267.1,52.93,348643,7.144486,-.39242697
Comoros ,Africa ,1987,1315.98,54.93,395114,7.1823368,-.38685846
Comoros ,Africa ,1992,1246.91,57.94,454429,7.1284237,.061444759
Comoros ,Africa ,1997,1173.62,60.66,527982,7.0678482,-.076637745
Comoros ,Africa ,2002,1075.81,62.97,614382,6.9808292,-.20150757
Comoros ,Africa ,2007,986.15,65.15000000000001,710960,6.8938084,-.23461533
"Congo, Dem. Rep. ",Africa ,1952,780.54,39.14,14100005,6.659986,
"Congo, Dem. Rep. ",Africa ,1957,905.86,40.65,15577932,6.8088846,
"Congo, Dem. Rep. ",Africa ,1962,896.3099999999999,42.12,17486434,6.7982864,
"Congo, Dem. Rep. ",Africa ,1967,861.59,44.06,19941073,6.7587795,.098793507
"Congo, Dem. Rep. ",Africa ,1972,904.9,45.99,23007669,6.8078246,-.001060009
"Congo, Dem. Rep. ",Africa ,1977,795.76,47.8,26480870,6.6792974,-.11898899
"Congo, Dem. Rep. ",Africa ,1982,673.75,47.78,30646495,6.5128593,-.24592018
"Congo, Dem. Rep. ",Africa ,1987,672.77,47.41,35481645,6.5114036,-.29642105
"Congo, Dem. Rep. ",Africa ,1992,457.72,45.55,41672143,6.1262574,-.55304003
"Congo, Dem. Rep. ",Africa ,1997,312.19,42.59,47798986,5.7436118,-.76924753
"Congo, Dem. Rep. ",Africa ,2002,241.17,44.97,55379852,5.4855022,-1.0259013
"Congo, Dem. Rep. ",Africa ,2007,277.55,46.46,64606759,5.6260009,-.50025654
"Congo, Rep. ",Africa ,1952,2125.62,42.11,854885,7.661819,
"Congo, Rep. ",Africa ,1957,2315.06,45.05,940458,7.747191,
"Congo, Rep. ",Africa ,1962,2464.78,48.44,1047924,7.8098578,
"Congo, Rep. ",Africa ,1967,2677.94,52.04,1179760,7.8928032,.23098421
"Congo, Rep. ",Africa ,1972,3213.15,54.91,1340458,8.0750074,.32781649
"Congo, Rep. ",Africa ,1977,3259.18,55.63,1536769,8.0892305,.27937269
"Congo, Rep. ",Africa ,1982,4879.51,56.7,1774735,8.4927998,.59999657
"Congo, Rep. ",Africa ,1987,4201.19,57.47,2064095,8.3431234,.268116
"Congo, Rep. ",Africa ,1992,4016.24,56.43,2409073,8.2981014,.20887089
"Congo, Rep. ",Africa ,1997,3484.16,52.96,2800947,8.155982,-.33681774
"Congo, Rep. ",Africa ,2002,3484.06,52.97,3328795,8.1559534,-.18717003
"Congo, Rep. ",Africa ,2007,3632.56,55.32,3800610,8.1976929,-.10040855
Costa Rica ,Americas ,1952,2627.01,57.21,926317,7.8736014,
Costa Rica ,Americas ,1957,2990.01,60.03,1112300,8.0030317,
Costa Rica ,Americas ,1962,3460.94,62.84,1345187,8.1492958,
Costa Rica ,Americas ,1967,4161.73,65.42,1588717,8.3336859,.46008444
Costa Rica ,Americas ,1972,5118.15,67.84999999999999,1834796,8.5405483,.53751659
Costa Rica ,Americas ,1977,5926.88,70.75,2108457,8.687253,.53795719
Costa Rica ,Americas ,1982,5262.73,73.45,2424367,8.5684052,.23471928
Costa Rica ,Americas ,1987,5629.92,74.75,2799811,8.6358509,.095302582
Costa Rica ,Americas ,1992,6160.42,75.70999999999999,3173216,8.7259007,.038647652
Costa Rica ,Americas ,1997,6677.05,77.26000000000001,3518107,8.8064318,.23802662
Costa Rica ,Americas ,2002,7723.45,78.12,3834934,8.9520168,.31616592
Costa Rica ,Americas ,2007,9645.059999999999,78.78,4133884,9.174201,.44830036
Cote d'Ivoire ,Africa ,1952,1388.59,40.48,2977019,7.2360439,
Cote d'Ivoire ,Africa ,1957,1500.9,42.47,3300000,7.3138204,
