Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Estimates Start After
Austria,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.898,0.875,0.868,0.865,0.874,0.873,0.879,0.875,0.897,0.889,0.883,0.886,0.896,0.899,0.903,0.9,0.893,0.888,0.882,0.871,0.864,0.86,0.857,0.851,0.843,0.838,0.828,0.825,0.824,0.833,0.831,0.83,0.831,0.83,0.83,2014
Austria,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2014 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2015",33.281,29.008,26.123,25.474,27.373,27.009,26.899,27.045,25.784,26.616,26.835,27.105,26.423,25.489,26.319,26.899,26.481,26.323,26.225,26.202,26.009,25.206,23.667,24.472,24.111,23.886,23.67,24.62,24.535,22.845,22.654,24.175,24.006,23.261,22.758,2014
Austria,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2014 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2015",25.977,24.653,23.7,22.027,23.067,23.049,23.147,23.358,23.887,25.07,25.789,25.32,24.281,22.978,22.906,24.024,23.626,23.907,24.617,24.567,25.292,24.409,26.262,26.106,26.244,25.984,26.394,28.027,29.248,25.461,25.96,25.763,26.259,24.221,23.506,2014
Austria,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2014 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 09/2015,53.215,56.837,59.929,61.928,65.436,67.523,68.696,69.663,70.964,72.561,74.567,76.892,79.525,82.1,84.325,85.675,87.211,88.22,88.947,89.405,91.157,93.248,94.833,96.063,97.936,100,101.69,103.93,107.28,107.71,109.53,113.42,116.34,118.803,120.542,2014
Austria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.325,6.807,5.44,3.335,5.665,3.19,1.737,1.408,1.868,2.249,2.764,3.118,3.425,3.238,2.71,1.601,1.793,1.157,0.824,0.515,1.959,2.295,1.7,1.296,1.95,2.108,1.69,2.203,3.223,0.401,1.69,3.552,2.575,2.117,1.464,2014
Austria,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2014 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2005 Primary domestic currency: Euro Data last updated: 09/2015,54.61,58.108,60.854,63.158,66.346,68.207,68.959,70.092,71.4,73.17,75.46,77.52,80.42,82.91,84.89,85.81,87.81,88.69,89.12,90.6,92.26,93.92,95.49,96.71,99.15,100.72,102.33,105.89,107.44,108.57,110.93,114.7,118.05,120.411,121.374,2014
Austria,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",6.661,6.407,4.726,3.785,5.049,2.804,1.104,1.642,1.866,2.479,3.13,2.73,3.741,3.096,2.388,1.084,2.331,1.002,0.485,1.661,1.832,1.799,1.672,1.278,2.523,1.583,1.598,3.479,1.464,1.052,2.174,3.399,2.921,2,0.8,2014
Austria,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2015",6.17,-0.771,-4.667,5.691,10.05,6.156,-2.911,5.447,10.4,10.158,7.98,5.114,2.116,-5.489,10.332,5.905,4.16,7.263,5.751,4.053,10.192,5.181,0.292,3.508,7.995,5.447,5.863,5.617,0.919,-12.019,11.989,6.203,1.093,0.014,1.335,2014
Austria,Volume of Imports of goods,Percent change,,"Source: Central Bank Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2015",7.115,-1.618,-3.463,6.575,10.972,6.555,-3.581,3.51,10.4,10.262,8.615,5.988,1.348,-4.615,10.391,5.556,3.39,8.936,7.261,5.779,11.354,4.906,-0.038,3.782,9.192,4.985,6.256,7.034,0.899,-12.679,14.216,6.474,0.022,-1.956,0.606,2014
Austria,Volume of exports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2015",5.227,5.063,1.591,3.638,6.334,7.1,-2.348,3.101,10.2,10.544,8.572,2.937,1.319,-2.373,5.688,7.205,4.638,11.028,7.851,6.434,13.525,5.744,4.098,0.402,8.781,6.511,7.459,7.386,2.259,-15.008,13.84,5.973,1.655,0.814,2.111,2014
Austria,Volume of exports of goods,Percent change,,"Source: Central Bank Latest actual data: 2014 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2015",5.24,7.714,4.078,5.682,7.754,9.61,-2.729,2.119,9.6,10.265,8.453,3.215,2.608,-3.391,8.291,12.037,4.417,15.559,8.196,7.804,13.368,6.005,4.281,0.049,10.605,5.898,7.842,8.063,0.661,-17.402,19.635,6.245,1.207,-0.259,2.009,2014
Austria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2015,1.6,2.2,3.1,3.7,3.8,3.6,3.1,3.8,2.676,2.348,2.723,3.151,3.29,3.958,3.85,3.917,4.333,4.367,4.483,3.933,3.883,4.008,4.392,4.792,5.492,5.65,5.225,4.867,4.15,5.308,4.817,4.567,4.925,5.342,5.633,2014
Austria,Employment,Persons,Millions,Source: National Statistics Office Latest actual data: 2014 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2015,2.789,2.799,2.766,2.735,2.745,2.76,2.78,2.785,2.81,2.862,2.929,2.997,3.056,3.055,3.071,3.068,3.047,3.056,3.077,3.108,3.134,3.148,3.155,3.185,3.199,3.23,3.281,3.344,3.389,3.339,3.36,3.422,3.465,3.483,3.503,2014
Austria,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2014 Primary domestic currency: Euro Data last updated: 09/2015,7.54,7.556,7.565,7.543,7.544,7.549,7.557,7.567,7.576,7.594,7.645,7.711,7.799,7.883,7.929,7.944,7.953,7.965,7.971,7.983,8.002,8.021,8.064,8.1,8.143,8.201,8.254,8.283,8.308,8.335,8.352,8.375,8.408,8.452,8.508,2014
Austria,General government revenue,National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 Fiscal assumptions: For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to have increased the general government debt-to-GDP ratio by 4.3 percentage points, and the deficit effect arising from Hypo is assumed at 1.4 percentage points. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,52.372,54.807,59.916,65.183,72.282,78.811,81.968,86.863,92.72,93.263,96.241,99.931,102.945,110.926,111.678,113.758,117.515,122.629,127.119,134.915,141.08,139.59,142.232,148.899,154.548,159.907,164.02,2014
Austria,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,43.878,42.928,43.665,44.309,46.509,49.091,48.632,49.303,50.908,49.527,49.145,49.126,48.287,50.399,49.349,49.246,48.659,48.468,47.704,47.783,48.327,48.776,48.275,48.245,48.745,49.526,49.809,2014
Austria,General government total expenditure,National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 Fiscal assumptions: For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to have increased the general government debt-to-GDP ratio by 4.3 percentage points, and the deficit effect arising from Hypo is assumed at 1.4 percentage points. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,56.401,58.7,63.478,69.551,75.651,86.131,90.442,97.695,100.657,97.762,101.576,105.214,107.313,112.282,114.721,117.837,129.049,128.98,133.778,138.632,145.309,154.808,155.336,156.806,161.466,164.052,171.936,2014
Austria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.254,45.977,46.261,47.278,48.677,53.651,53.66,55.451,55.266,51.915,51.87,51.723,50.335,51.015,50.694,51.012,53.435,50.978,50.202,49.1,49.775,54.093,52.723,50.807,50.927,50.809,52.213,2014
Austria,General government net lending/borrowing,National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 Fiscal assumptions: For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to have increased the general government debt-to-GDP ratio by 4.3 percentage points, and the deficit effect arising from Hypo is assumed at 1.4 percentage points. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-4.029,-3.893,-3.562,-4.368,-3.369,-7.32,-8.474,-10.832,-7.936,-4.499,-5.335,-5.283,-4.367,-1.356,-3.043,-4.079,-11.535,-6.351,-6.658,-3.717,-4.229,-15.218,-13.104,-7.907,-6.919,-4.144,-7.916,2014
Austria,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.375,-3.049,-2.596,-2.969,-2.168,-4.56,-5.028,-6.148,-4.357,-2.389,-2.724,-2.597,-2.049,-0.616,-1.345,-1.766,-4.776,-2.51,-2.499,-1.317,-1.448,-5.317,-4.448,-2.562,-2.182,-1.284,-2.404,2014
Austria,General government structural balance,National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 Fiscal assumptions: For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to have increased the general government debt-to-GDP ratio by 4.3 percentage points, and the deficit effect arising from Hypo is assumed at 1.4 percentage points. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 09/2015",-1.502,-0.696,-2.112,3.416,-1.221,-1.295,-2.915,-4.467,-3.004,-3.985,-4.511,-5.659,-3.984,-5.851,-7.7,-11.058,-8.076,-4.456,-5.006,-5.985,-7.642,-3.005,-2.981,-1.744,-4.62,-5.755,-8.115,-8.618,-9.198,-9.414,-10.558,-8.468,-6.41,-4.389,-2.268,2014
Austria,General government structural balance,Percent of potential GDP,,See notes for:  General government structural balance (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.956,-2.62,-3.647,-4.561,-6.27,-4.409,-2.339,-2.548,-2.961,-3.638,-1.372,-1.316,-0.745,-1.899,-2.265,-3.08,-3.15,-3.256,-3.23,-3.546,-2.762,-2.03,-1.356,-0.683,2014
Austria,General government primary net lending/borrowing,National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 Fiscal assumptions: For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to have increased the general government debt-to-GDP ratio by 4.3 percentage points, and the deficit effect arising from Hypo is assumed at 1.4 percentage points. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.77,-1.571,-1.035,-1.452,-0.206,-3.176,-4.208,-5.062,-1.83,1.256,0.497,0.377,1.487,4.586,2.852,1.502,-6.062,-0.347,-0.429,2.511,2.277,-8.896,-6.693,-1.283,-0.269,2.405,-1.636,2014
Austria,General government primary net lending/borrowing,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.483,-1.23,-0.754,-0.987,-0.133,-1.978,-2.496,-2.873,-1.005,0.667,0.254,0.185,0.697,2.084,1.26,0.65,-2.51,-0.137,-0.161,0.889,0.78,-3.108,-2.272,-0.416,-0.085,0.745,-0.497,2014
Austria,General government net debt,National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 Fiscal assumptions: For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to have increased the general government debt-to-GDP ratio by 4.3 percentage points, and the deficit effect arising from Hypo is assumed at 1.4 percentage points. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,156.726,158.852,157.677,2014
Austria,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,49.432,49.199,47.883,2014
Austria,General government gross debt,National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 Fiscal assumptions: For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to have increased the general government debt-to-GDP ratio by 4.3 percentage points, and the deficit effect arising from Hypo is assumed at 1.4 percentage points. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 09/2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,68.622,72.082,76.92,82.763,87.27,97.552,107.64,119.834,123.776,119.001,124.559,135.123,140.42,146.328,150.019,151.286,156.501,172.842,178.658,182.984,200.024,228.166,242.442,253.293,258.526,260.977,278.089,2014
Austria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.493,56.458,56.057,56.26,56.153,60.765,63.863,68.017,67.959,63.194,63.606,66.426,65.864,66.484,66.291,65.492,64.802,68.315,67.044,64.808,68.518,79.726,82.288,82.07,81.54,80.828,84.45,2014
Austria,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 Fiscal assumptions: For 2014, the creation of a defeasance structure for Hypo Alpe Adria is assumed to have increased the general government debt-to-GDP ratio by 4.3 percentage points, and the deficit effect arising from Hypo is assumed at 1.4 percentage points. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government;State Government;Local Government;Social Security Funds; Valuation of public debt: Face value Primary domestic currency: Euro Data last updated: 09/2015",75.811,80.704,86.63,92.316,96.914,102.143,107.362,111.471,119.357,127.673,137.217,147.109,155.414,160.54,168.548,176.183,182.133,188.31,195.828,203.418,213.196,220.096,226.303,230.999,241.505,253.009,266.478,282.347,291.93,286.188,294.628,308.63,317.056,322.878,329.296,2014
Austria,Current account balance,U.S. dollars,Billions,"Source: Central Bank Latest actual data: 2014 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Euro Data last updated: 09/2015",-4.131,-2.645,0.703,0.276,-0.178,-0.158,0.204,-0.263,-0.242,0.248,1.166,0.061,-0.753,-1.013,-2.992,-7.014,-6.704,-5.099,-3.513,-3.491,-1.339,-1.512,5.464,4.186,6.074,6.245,11.055,14.751,19.333,10.317,11.478,6.794,6.144,4.091,3.228,2014
Austria,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-5.116,-3.781,1.006,0.39,-0.266,-0.231,0.21,-0.216,-0.181,0.187,0.7,0.035,-0.386,-0.533,-1.47,-2.913,-2.831,-2.398,-1.612,-1.609,-0.68,-0.767,2.556,1.602,2.023,1.981,3.304,3.812,4.5,2.588,2.936,1.582,1.507,0.954,0.738,2014
Belgium,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series. Latest actual data: 2014 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 09/2015",215.683,215.08,216.36,217.035,222.388,226.061,230.181,235.491,246.614,255.169,263.175,267.999,272.101,269.484,278.18,284.814,289.232,300.059,306.079,317.453,328.724,331.763,336.936,339.934,351.609,358.269,367.693,378.725,382.335,372.323,381.636,387.81,388.172,389.302,393.453,2014
Belgium,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.444,-0.279,0.595,0.312,2.466,1.652,1.823,2.307,4.723,3.469,3.137,1.833,1.531,-0.962,3.227,2.385,1.551,3.743,2.006,3.716,3.55,0.924,1.559,0.89,3.434,1.894,2.63,3,0.953,-2.619,2.501,1.618,0.093,0.291,1.066,2014
Belgium,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series. Latest actual data: 2014 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 09/2015",89.715,94.063,101.786,107.834,116.503,123.907,129.694,134.921,144.358,156.532,165.983,173.889,182.596,188.06,198.194,211.291,215.507,225.335,233.788,243.723,257.604,265.291,274.565,282.255,298.356,311.151,327.368,345.069,355.066,349.703,365.747,379.915,388.172,395.242,402.027,2014
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",123.947,102.655,90.324,85.369,81.565,84.82,117.619,145.99,158.724,160.46,200.926,206.218,229.677,219.595,239.562,289.459,280.9,254.454,260.19,260.007,238.032,237.601,259.304,319.182,370.947,387.618,411.059,472.964,522.556,487.065,485.307,528.617,499.024,524.943,534.23,2014
Belgium,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",41.596,43.734,47.045,49.685,52.387,54.811,56.344,57.294,58.536,61.344,63.069,64.884,67.106,69.785,71.247,74.186,74.51,75.097,76.382,76.775,78.365,79.964,81.489,83.032,84.854,86.848,89.033,91.113,92.868,93.925,95.837,97.964,100,101.526,102.179,2014
Belgium,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","21,885.36","21,805.95","21,955.25","22,016.06","22,570.49","22,932.37","23,347.60","23,871.97","24,971.73","25,702.98","26,455.63","26,834.86","27,150.40","26,765.53","27,540.86","28,114.30","28,515.30","29,503.67","30,030.52","31,080.94","32,104.82","32,324.82","32,681.38","32,825.33","33,820.20","34,297.73","34,980.46","35,780.98","35,843.24","34,624.78","35,206.58","35,253.41","34,986.68","34,878.56","35,117.22",2014
Belgium,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,103.44","9,536.55","10,328.75","10,938.70","11,824.07","12,569.51","13,155.01","13,677.09","14,617.51","15,767.35","16,685.39","17,411.53","18,219.54","18,678.41","19,621.99","20,856.77","21,246.77","22,156.34","22,937.79","23,862.24","25,158.89","25,848.22","26,631.65","27,255.63","28,697.95","29,787.04","31,144.15","32,601.25","33,286.82","32,521.19","33,740.79","34,535.72","34,986.68","35,410.74","35,882.48",2014
